#do_sensitivity.py --input_csv sensitivity_info --bias .03 --output_dir sensitivity_output --covariate_dir ./covariates/
alpha,delta,Rsq
0.2051,0.00020258691053373385,0.08153662110328504
0.2056,0.00020196711880169678,0.08153662058659748
0.2061,0.00020135033430756423,0.08153662007343458
0.2066,0.00020073653521756587,0.08153661956376416
0.2071,0.00020012569990878438,0.08153661905755497
0.2076,0.00019951780696661497,0.08153661855477531
0.2081,0.00019891283518226523,0.08153661805539539
0.20859999999999998,0.00019831076355028524,0.08153661755938428
0.20909999999999998,0.00019771157126613888,0.08153661706671222
0.20959999999999998,0.00019711523772380585,0.08153661657734913
0.21009999999999998,0.00019652174251342115,0.0815366160912659
0.21059999999999998,0.0001959310654189453,0.08153661560843352
0.21109999999999998,0.0001953431864158692,0.08153661512882335
0.21159999999999998,0.00019475808566895122,0.08153661465240669
0.21209999999999998,0.0001941757435299868,0.08153661417915582
0.21259999999999998,0.00019359614053560825,0.08153661370904271
0.21309999999999998,0.00019301925740511686,0.08153661324203984
0.21359999999999998,0.0001924450750383451,0.08153661277812026
0.21409999999999998,0.00019187357451354816,0.08153661231725713
0.21459999999999999,0.00019130473708532506,0.0815366118594236
0.21509999999999999,0.00019073854418256997,0.08153661140459327
0.21559999999999999,0.00019017497740645144,0.08153661095274078
0.2161,0.00018961401852841768,0.08153661050384
0.2166,0.00018905564948823214,0.08153661005786512
0.2171,0.00018849985239203696,0.08153660961479188
0.2176,0.00018794660951043836,0.081536609174595
0.2181,0.000187395903276623,0.0815366087372494
0.2186,0.00018684771628449943,0.08153660830273117
0.2191,0.0001863020312868626,0.08153660787101578
0.2196,0.0001857588311935873,0.08153660744208038
0.2201,0.00018521809906984091,0.0815366070159009
0.2206,0.00018467981813432449,0.08153660659245295
0.2211,0.00018414397175753975,0.08153660617171463
0.2216,0.0001836105434600727,0.0815366057536628
0.2221,0.00018307951691090644,0.08153660533827546
0.2226,0.00018255087592575198,0.0815366049255291
0.2231,0.00018202460446540777,0.08153660451540222
0.2236,0.0001815006866341351,0.08153660410787304
0.2241,0.0001809791066780573,0.08153660370291937
0.2246,0.0001804598489835833,0.08153660330052062
0.2251,0.00017994289807584586,0.08153660290065483
0.2256,0.0001794282386171676,0.08153660250330125
0.2261,0.00017891585540554236,0.08153660210843926
0.2266,0.0001784057333731387,0.08153660171604805
0.2271,0.000177897857584823,0.0815366013261073
0.2276,0.0001773922132367024,0.08153660093859731
0.2281,0.00017688878565468448,0.08153660055349733
0.2286,0.00017638756029306015,0.08153660017078805
0.2291,0.00017588852273310202,0.0815365997904504
0.2296,0.0001753916586816804,0.08153659941246477
0.2301,0.00017489695396989992,0.08153659903681194
0.2306,0.00017440439455175205,0.08153659866347264
0.2311,0.00017391396650278727,0.0815365982924287
0.2316,0.0001734256560188009,0.08153659792366151
0.2321,0.0001729394494145381,0.08153659755715197
0.2326,0.0001724553331224181,0.08153659719288313
0.2331,0.00017197329369126796,0.08153659683083624
0.2336,0.0001714933177850797,0.08153659647099334
0.2341,0.00017101539218178014,0.0815365961133373
0.2346,0.00017053950377201544,0.08153659575785042
0.2351,0.00017006563955795397,0.08153659540451572
0.2356,0.00016959378665210113,0.08153659505331547
0.2361,0.00016912393227613362,0.08153659470423331
0.2366,0.00016865606375974325,0.08153659435725223
0.2371,0.0001681901685394995,0.08153659401235563
0.2376,0.00016772623415772493,0.0815365936695272
0.2381,0.00016726424826138435,0.08153659332875089
0.2386,0.00016680419860098762,0.08153659299000965
0.2391,0.00016634607302950982,0.08153659265328875
0.2396,0.00016588985950131835,0.08153659231857145
0.24009999999999998,0.00016543554607112044,0.08153659198584273
0.24059999999999998,0.0001649831208929182,0.08153659165508673
0.24109999999999998,0.0001645325722189805,0.08153659132628811
